Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x0MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
49718600.000	-25763622.000	500000.000
52075404.000	-25356334.000	498046.875
52537220.000	-32251926.000	496093.750
53647864.000	-41966800.000	494140.625
52881564.000	-51364164.000	492187.500
51617136.000	-62525128.000	490234.375
46786652.000	-73266264.000	488281.250
39975976.000	-85687640.000	486328.125
28832890.000	-100319600.000	484375.000
16149954.000	-111230976.000	482421.875
-4488170.000	-120466536.000	480468.750
-28664648.000	-123388184.000	478515.625
-51617736.000	-117954472.000	476562.500
-73800680.000	-105767536.000	474609.375
-87061040.000	-89817912.000	472656.250
-96775992.000	-71135712.000	470703.125
-102751096.000	-53826936.000	468750.000
-104130240.000	-37454084.000	466796.875
-102234312.000	-22846422.000	464843.750
-98960432.000	-9910866.000	462890.625
-94968312.000	2175416.000	460937.500
-87310208.000	12038023.000	458984.375
-82525224.000	19938090.000	457031.250
-75032064.000	27219000.000	455078.125
-67512088.000	32982224.000	453125.000
-61657152.000	36456820.000	451171.875
-54712436.000	39365992.000	449218.750
-46704924.000	40110240.000	447265.625
-41658212.000	41450164.000	445312.500
-33594984.000	42012704.000	443359.375
-28132764.000	41158360.000	441406.250
-25119872.000	41090112.000	439453.125
-17730252.000	40310176.000	437500.000
-13775885.000	37351808.000	435546.875
-10461688.000	36177400.000	433593.750
-6429699.000	34447504.000	431640.625
-4520089.000	32176848.000	429687.500
-3026144.750	29535764.000	427734.375
-1197263.375	25825868.000	425781.250
3250636.250	23538480.000	423828.125
2198441.500	20592246.000	421875.000
3359006.000	20599010.000	419921.875
4724834.500	17550658.000	417968.750
4702531.500	15040161.000	416015.625
4522322.500	13416774.000	414062.500
3526373.250	11462550.000	412109.375
4047351.500	10318612.000	410156.250
4778596.500	9438511.000	408203.125
2236303.250	7228790.500	406250.000
2728555.250	5941933.500	404296.875
2969064.000	4495119.000	402343.750
-184677.813	4694793.000	400390.625
1064959.750	2324838.250	398437.500
-167050.344	1249584.000	396484.375
-949737.563	2034166.875	394531.250
-138779.094	1970024.875	392578.125
-1425999.625	1451404.000	390625.000
-978828.438	1030647.563	388671.875
-2483270.000	241767.141	386718.750
-3263955.750	689993.000	384765.625
-3806466.000	1057477.250	382812.500
-5391690.500	1103305.625	380859.375
-5198297.000	1765691.750	378906.250
-4006049.750	326442.375	376953.125
-5688335.500	592197.563	375000.000
-3653302.000	1367392.250	373046.875
-5692049.500	1059506.000	371093.750
-7046290.500	1287627.625	369140.625
-8578071.000	2427236.750	367187.500
-6882376.000	2070912.375	365234.375
-7325131.000	2904525.250	363281.250
-7577820.000	3125180.000	361328.125
-6555397.500	3433653.500	359375.000
-7397205.000	2869927.250	357421.875
-7997384.000	4605025.000	355468.750
-8677049.000	5023585.500	353515.625
-6991847.000	3945671.250	351562.500
-6529124.000	3681271.500	349609.375
-5417754.500	3964990.500	347656.250
-6951176.500	6387227.500	345703.125
-6359488.500	4534825.000	343750.000
-2874567.250	4440758.500	341796.875
-4939102.000	6925890.000	339843.750
-4495746.000	6334834.500	337890.625
-3768922.250	5484407.000	335937.500
-5500585.500	6271113.500	333984.375
-3979855.000	5460861.000	332031.250
-2929360.250	4992159.500	330078.125
-4462889.000	5195443.500	328125.000
-4167551.500	6552192.500	326171.875
-2688642.750	4270254.500	324218.750
-2603968.000	6027712.000	322265.625
-2778454.500	4689542.500	320312.500
-3651594.500	4029529.250	318359.375
-4920102.500	4290083.500	316406.250
-1705464.125	4422772.500	314453.125
-1628673.000	4887506.000	312500.000
-1016667.000	3645398.500	310546.875
-1708192.000	6224069.000	308593.750
-2162161.500	5759606.500	306640.625
-2566221.000	5363188.500	304687.500
-1392672.625	2261705.500	302734.375
658160.375	3427693.250	300781.250
-2538199.000	4442498.000	298828.125
-1596588.750	1002591.125	296875.000
-501548.125	3649566.250	294921.875
-2740875.000	2277434.000	292968.750
-2321121.500	2260005.750	291015.625
-3987974.750	1803457.125	289062.500
-386265.063	2836475.750	287109.375
-2139392.750	2225787.000	285156.250
-3206425.250	1654955.625	283203.125
-3478135.750	3161824.750	281250.000
-2736974.250	3507403.750	279296.875
-4534168.500	1614350.875	277343.750
1101675.125	3396040.500	275390.625
-2224513.750	2621271.000	273437.500
-2171362.500	3756863.250	271484.375
-966841.313	1617669.500	269531.250
-4090111.250	2637952.500	267578.125
-2367439.500	2391971.250	265625.000
-3437110.250	2804291.250	263671.875
-5736178.000	2997345.250	261718.750
-2349328.750	3218521.000	259765.625
-1756310.000	2914389.000	257812.500
-1514788.000	1984716.250	255859.375
-3098678.750	2207672.250	253906.250
-2507662.000	2369942.500	251953.125
-929685.250	1680749.000	250000.000
-1548400.500	2987388.500	248046.875
-2368502.750	2597969.000	246093.750
-2102217.000	1038636.500	244140.625
-3425722.000	3090676.000	242187.500
-3484157.000	3083002.500	240234.375
-821814.625	1765142.000	238281.250
-1312655.375	3496913.750	236328.125
-1542673.625	2809603.500	234375.000
-1423530.500	2511458.750	232421.875
-1262752.125	2081496.625	230468.750
-1471143.375	2408251.000	228515.625
-4082831.750	3097949.250	226562.500
-2907994.750	3753163.750	224609.375
-2909747.500	3167648.750	222656.250
-1317440.875	3643509.000	220703.125
-1827015.250	1607638.875	218750.000
-18196.283	1591161.000	216796.875
-2100932.250	3204377.250	214843.750
-1643941.000	3196142.500	212890.625
-1106504.125	4181026.750	210937.500
-1138653.375	477109.500	208984.375
-997197.125	1573253.000	207031.250
-2751831.500	3497272.250	205078.125
-1015704.188	1181950.125	203125.000
66116.117	2188780.500	201171.875
-1920489.750	3675765.500	199218.750
-731295.313	1531307.750	197265.625
-3384256.250	2794564.500	195312.500
-2246177.250	1065073.250	193359.375
-3448274.500	676183.938	191406.250
166781.516	-52188.988	189453.125
-1319411.500	2460156.250	187500.000
-2292204.500	-642170.438	185546.875
-4444024.000	3280984.000	183593.750
-3129381.250	1128020.500	181640.625
-2551864.750	-557020.688	179687.500
-1738065.250	1764795.000	177734.375
-1912978.000	608005.688	175781.250
-4359916.500	883924.813	173828.125
-1292119.875	1862246.625	171875.000
-998527.938	902631.188	169921.875
-1732237.250	750955.500	167968.750
-3511078.500	3267994.250	166015.625
-3724383.750	3041000.000	164062.500
-2595078.500	3299810.500	162109.375
-2621936.250	1353514.875	160156.250
-977690.438	1370372.625	158203.125
-645089.813	2245258.750	156250.000
-2352462.500	298341.469	154296.875
-4129465.000	-214079.750	152343.750
-1805067.500	1915850.125	150390.625
-2834374.250	1831893.375	148437.500
-1988963.125	1944781.500	146484.375
81274.023	1900197.375	144531.250
-4171744.750	120239.773	142578.125
-2791225.750	2351300.500	140625.000
225278.297	1683159.500	138671.875
-4183088.750	-183452.797	136718.750
-4100366.500	2117836.500	134765.625
