Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x2MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
-9011308.000	-916511.125	152343.750
-7108646.000	1306461.375	150390.625
-7813381.500	1970811.375	148437.500
-5733699.500	2956661.250	146484.375
-6031833.000	1277140.750	144531.250
-6230228.500	1653204.000	142578.125
-5275344.500	632337.375	140625.000
-2747780.250	242898.844	138671.875
-4160649.750	2450954.000	136718.750
-4509839.000	341489.406	134765.625
-6164366.500	400859.656	132812.500
-5049877.000	-52935.980	130859.375
-1346493.000	991023.688	128906.250
-5688885.500	984489.375	126953.125
-635499.813	-2852111.000	125000.000
-2681264.250	1094960.125	123046.875
-2727374.000	-721237.063	121093.750
-2986337.000	1993530.875	119140.625
-3432719.000	-1210489.750	117187.500
-2161816.250	-1386767.750	115234.375
-3840763.500	-2952170.500	113281.250
-2775173.000	51457.219	111328.125
-3731652.500	-1426625.000	109375.000
-3818837.000	-2325828.250	107421.875
-4621466.500	-3536701.750	105468.750
-4200062.000	-2474238.000	103515.625
-4174210.000	-3217003.750	101562.500
-3920756.500	-402546.688	99609.375
-6586850.000	-1635946.625	97656.250
-3837419.000	-4241373.000	95703.125
-5038610.000	-1007552.875	93750.000
-4014108.750	-2344048.000	91796.875
-4185357.250	-1841763.500	89843.750
-6001892.500	-4278643.500	87890.625
-4037159.750	-2026909.750	85937.500
-5144823.500	-294986.813	83984.375
-5166187.000	-675942.438	82031.250
-8570888.000	-872944.938	80078.125
-7212565.500	-102058.617	78125.000
-5120091.000	-1537490.375	76171.875
-7235805.000	-1292064.750	74218.750
-6045287.000	-2579974.250	72265.625
-6533396.500	1109121.125	70312.500
-5125154.500	701609.000	68359.375
-5832968.500	-1664062.125	66406.250
-6705903.500	307009.531	64453.125
-4611528.000	-346728.125	62500.000
-3211316.500	-539801.438	60546.875
-4473930.500	798616.125	58593.750
-2625523.500	2031487.500	56640.625
-2874710.500	831648.063	54687.500
-3583875.500	1471877.000	52734.375
-2813837.750	3050151.000	50781.250
-6853177.000	-508140.063	48828.125
-3744438.750	-726922.563	46875.000
-3574778.500	1891587.125	44921.875
-3344381.750	-1306071.750	42968.750
-3756348.000	-115177.086	41015.625
-4005885.000	1485348.125	39062.500
-3126724.750	433730.969	37109.375
-2312514.500	405003.625	35156.250
-5064027.000	1344648.500	33203.125
-2154390.750	406891.938	31250.000
-3782981.500	128737.516	29296.875
-2088545.375	-430932.844	27343.750
-1296268.125	1901043.125	25390.625
-3854921.000	-828887.500	23437.500
-1139097.750	-458898.594	21484.375
-4549611.000	1780181.125	19531.250
-2246384.000	1175384.750	17578.125
-2999188.500	-23644.016	15625.000
-2599720.750	705607.250	13671.875
-2258358.750	2448686.500	11718.750
-3321538.000	1506722.000	9765.625
-4049080.750	-893590.063	7812.500
-1739230.875	983751.125	5859.375
-3066495.750	-1514615.625	3906.250
-3431003.250	-1146327.625	1953.125
-648558.125	1304245.750	0.000
-2435779.500	-1775632.125	-1953.125
-2229454.500	-975562.875	-3906.250
-2520456.250	-2186459.750	-5859.375
-1811945.875	328725.594	-7812.500
-6208507.500	-526347.125	-9765.625
-2176339.500	9774.953	-11718.750
-2458646.250	-1145051.625	-13671.875
-3032503.750	232325.516	-15625.000
-3704181.000	145036.922	-17578.125
-3185429.000	2583412.750	-19531.250
-4977311.000	2319091.000	-21484.375
-3304539.750	-165453.375	-23437.500
-1437547.250	1862676.250	-25390.625
-1795490.625	714170.750	-27343.750
-2197125.000	4427190.000	-29296.875
-406600.063	-2156631.000	-31250.000
-645584.125	1130886.500	-33203.125
-37034.188	881745.875	-35156.250
2310410.250	-1675158.875	-37109.375
-1360016.250	-781458.250	-39062.500
-505980.531	-1115838.500	-41015.625
1216841.750	531505.750	-42968.750
1526556.500	-630478.875	-44921.875
-1214139.125	-1868273.625	-46875.000
-1237644.875	-2464261.250	-48828.125
-4002799.250	243032.516	-50781.250
-2156481.500	-902448.875	-52734.375
241829.406	-2049112.000	-54687.500
-1871921.500	20887.758	-56640.625
-2402882.000	-1566080.750	-58593.750
-2010876.625	-508571.000	-60546.875
174112.484	-4053051.750	-62500.000
-194364.734	-2081514.125	-64453.125
-4289933.500	573319.500	-66406.250
-2520782.000	1240492.750	-68359.375
