Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\export2\Spectrum-own_coil-45x474MHz_100000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
1430755.250	-287421.844	188.000
-7363210.500	-2373592.750	189.000
-9931329.000	6343255.500	190.000
7103027.000	2597264.500	191.000
973244.063	3303260.500	192.000
7830420.500	3849104.250	193.000
1299039.750	5898512.000	194.000
-1640055.250	-5051923.500	195.000
-522986.719	-1863763.250	196.000
-6833730.000	117699.648	197.000
4284222.500	1390751.500	198.000
-180676.609	-2649218.000	199.000
2390926.750	-5719422.000	200.000
2194856.000	1852611.375	201.000
-665745.313	1924019.500	202.000
-2267135.750	-2287756.500	203.000
963045.625	1935390.500	204.000
-625232.438	-1753825.375	205.000
-535066.125	8627786.000	206.000
66184.484	-4479210.500	207.000
6266572.500	214351.203	208.000
4676938.500	-2936468.250	209.000
-126735.008	958466.438	210.000
4122501.750	1788293.000	211.000
-1537977.375	-2188177.500	212.000
2007714.625	2978070.250	213.000
-2581361.250	-1394167.000	214.000
-2100261.250	-3567849.250	215.000
-4614173.000	4885969.000	216.000
7130859.000	-4604168.500	217.000
-1454149.625	-845209.938	218.000
-5972790.000	519296.281	219.000
248673.234	596639.188	220.000
-3227372.000	1102970.375	221.000
535920.750	1840830.500	222.000
1029134.938	-531769.188	223.000
-1899166.625	-4148550.500	224.000
-10260581.000	-1211312.125	225.000
1125388.125	1553385.375	226.000
-3186218.500	-1210691.125	227.000
-2860293.250	1640997.875	228.000
-1364618.250	3393546.500	229.000
-945061.250	-435731.563	230.000
-5527304.500	-1426599.250	231.000
-5742217.000	5165000.000	232.000
2602450.250	-379224.625	233.000
-763560.750	-167583.781	234.000
-924754.438	-8424553.000	235.000
3251344.000	1502408.625	236.000
278777.063	-5358910.500	237.000
2249339.750	7029012.000	238.000
1788073.125	-4964007.500	239.000
6093578.000	6874764.000	240.000
-8116653.500	-8920564.000	241.000
9309739.000	9323078.000	242.000
-12206753.000	-14784806.000	243.000
18843816.000	27157494.000	244.000
-17894022.000	-27356694.000	245.000
24204756.000	23391894.000	246.000
-16993348.000	-9210276.000	247.000
8835539.000	2700336.750	248.000
-900918.000	-1465486.375	249.000
-3547632.500	1233415.500	250.000
5861396.000	-9315627.000	251.000
-662007.000	686763.750	252.000
-5307850.500	8680789.000	253.000
2274685.500	-3702042.000	254.000
2985170.750	825180.625	255.000
-1329786.250	-2070931.875	256.000
0.326	-1.237	257.000
0.530	-0.707	258.000
0.354	0.177	259.000
0.442	0.420	260.000
0.177	0.000	261.000
-2201405.000	-1309349.375	262.000
2028641.000	5919630.500	263.000
1422112.625	-4609265.500	264.000
-2258933.000	-5550767.500	265.000
-2050853.000	2796723.000	266.000
2229651.750	-2340119.250	267.000
1389616.375	-1698882.000	268.000
-5031487.000	3277260.000	269.000
-1868720.875	2175901.500	270.000
-606006.813	703127.188	271.000
-469964.031	-248516.203	272.000
-4453782.000	-1013739.938	273.000
361632.344	-2403747.250	274.000
-6123634.500	5657966.500	275.000
-2960514.250	1423530.375	276.000
702272.438	6563769.500	277.000
-1754146.500	-2776007.750	278.000
543780.500	2401107.750	279.000
683737.938	-1216425.750	280.000
-1519908.625	-3796780.000	281.000
-671453.063	3779760.750	282.000
-850825.313	2532495.000	283.000
