Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x0MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
49718604.000	-25763628.000	500000.000
52075404.000	-25356334.000	498046.875
52537224.000	-32251932.000	496093.750
53647872.000	-41966808.000	494140.625
52881564.000	-51364168.000	492187.500
51617144.000	-62525128.000	490234.375
46786664.000	-73266264.000	488281.250
39975976.000	-85687664.000	486328.125
28832896.000	-100319600.000	484375.000
16149962.000	-111230992.000	482421.875
-4488168.500	-120466536.000	480468.750
-28664648.000	-123388184.000	478515.625
-51617752.000	-117954464.000	476562.500
-73800680.000	-105767536.000	474609.375
-87061040.000	-89817904.000	472656.250
-96776000.000	-71135712.000	470703.125
-102751112.000	-53826932.000	468750.000
-104130232.000	-37454084.000	466796.875
-102234320.000	-22846424.000	464843.750
-98960440.000	-9910861.000	462890.625
-94968320.000	2175422.250	460937.500
-87310208.000	12038026.000	458984.375
-82525224.000	19938094.000	457031.250
-75032080.000	27219006.000	455078.125
-67512080.000	32982232.000	453125.000
-61657164.000	36456824.000	451171.875
-54712436.000	39366000.000	449218.750
-46704932.000	40110236.000	447265.625
-41658208.000	41450164.000	445312.500
-33594992.000	42012704.000	443359.375
-28132764.000	41158368.000	441406.250
-25119868.000	41090112.000	439453.125
-17730250.000	40310176.000	437500.000
-13775888.000	37351812.000	435546.875
-10461686.000	36177404.000	433593.750
-6429701.500	34447508.000	431640.625
-4520084.000	32176848.000	429687.500
-3026142.500	29535770.000	427734.375
-1197257.875	25825864.000	425781.250
3250639.750	23538478.000	423828.125
2198441.250	20592248.000	421875.000
3359007.500	20599008.000	419921.875
4724837.000	17550658.000	417968.750
4702523.000	15040162.000	416015.625
4522324.000	13416777.000	414062.500
3526375.500	11462553.000	412109.375
4047343.750	10318609.000	410156.250
4778597.000	9438509.000	408203.125
2236311.500	7228785.000	406250.000
2728550.250	5941930.000	404296.875
2969063.250	4495116.500	402343.750
-184676.672	4694798.500	400390.625
1064961.875	2324839.500	398437.500
-167053.313	1249584.250	396484.375
-949741.188	2034161.750	394531.250
-138783.250	1970026.125	392578.125
-1425998.750	1451405.625	390625.000
-978826.938	1030651.500	388671.875
-2483278.750	241761.094	386718.750
-3263950.750	690001.063	384765.625
-3806466.500	1057478.125	382812.500
-5391684.000	1103304.875	380859.375
-5198304.000	1765695.750	378906.250
-4006053.250	326449.063	376953.125
-5688337.000	592197.875	375000.000
-3653301.750	1367395.875	373046.875
-5692059.000	1059513.000	371093.750
-7046288.000	1287629.500	369140.625
-8578069.000	2427237.000	367187.500
-6882379.000	2070919.500	365234.375
-7325131.000	2904530.500	363281.250
-7577821.500	3125187.000	361328.125
-6555392.500	3433650.750	359375.000
-7397205.000	2869928.500	357421.875
-7997376.000	4605033.500	355468.750
-8677029.000	5023577.000	353515.625
-6991850.500	3945676.250	351562.500
-6529122.500	3681277.750	349609.375
-5417760.000	3965004.250	347656.250
-6951167.000	6387221.000	345703.125
-6359483.500	4534827.500	343750.000
-2874559.000	4440755.500	341796.875
-4939099.500	6925898.000	339843.750
-4495743.000	6334829.500	337890.625
-3768925.750	5484405.000	335937.500
-5500585.500	6271122.000	333984.375
-3979849.000	5460867.000	332031.250
-2929357.500	4992149.000	330078.125
-4462888.500	5195441.000	328125.000
-4167551.500	6552198.500	326171.875
-2688642.000	4270259.000	324218.750
-2603975.000	6027708.500	322265.625
-2778452.750	4689543.500	320312.500
-3651592.250	4029529.250	318359.375
-4920092.500	4290080.500	316406.250
-1705469.250	4422765.500	314453.125
-1628667.500	4887502.000	312500.000
-1016672.125	3645391.250	310546.875
-1708191.250	6224067.500	308593.750
-2162166.000	5759605.500	306640.625
-2566227.000	5363186.500	304687.500
-1392676.250	2261706.750	302734.375
658162.750	3427684.750	300781.250
-2538203.500	4442497.500	298828.125
-1596585.625	1002590.438	296875.000
-501550.906	3649569.000	294921.875
-2740874.750	2277430.750	292968.750
-2321128.500	2260011.500	291015.625
-3987978.500	1803455.625	289062.500
-386265.281	2836476.000	287109.375
-2139399.250	2225782.500	285156.250
-3206428.250	1654959.750	283203.125
-3478141.500	3161826.500	281250.000
-2736972.250	3507412.500	279296.875
-4534169.500	1614350.250	277343.750
1101676.125	3396043.000	275390.625
-2224513.000	2621273.000	273437.500
-2171364.750	3756868.500	271484.375
-966847.438	1617673.750	269531.250
-4090109.250	2637960.500	267578.125
-2367439.000	2391974.500	265625.000
-3437113.500	2804295.750	263671.875
-5736178.000	2997344.000	261718.750
-2349319.500	3218519.500	259765.625
-1756311.125	2914389.250	257812.500
-1514781.625	1984722.625	255859.375
-3098677.250	2207671.500	253906.250
-2507656.250	2369939.500	251953.125
-929685.625	1680756.000	250000.000
-1548399.750	2987382.250	248046.875
-2368502.750	2597966.750	246093.750
-2102221.500	1038631.063	244140.625
-3425723.250	3090676.000	242187.500
-3484148.500	3083006.000	240234.375
-821811.750	1765141.750	238281.250
-1312660.000	3496916.000	236328.125
-1542674.375	2809601.500	234375.000
-1423541.875	2511461.500	232421.875
-1262748.500	2081495.500	230468.750
-1471152.125	2408262.500	228515.625
-4082826.250	3097939.500	226562.500
-2908010.000	3753160.750	224609.375
-2909743.500	3167644.250	222656.250
-1317441.250	3643518.500	220703.125
-1827009.000	1607638.000	218750.000
-18200.785	1591160.500	216796.875
-2100930.250	3204386.500	214843.750
-1643941.750	3196145.250	212890.625
-1106494.375	4181028.750	210937.500
-1138648.875	477111.625	208984.375
