Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x4MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
2211170.000	672626.500	500000.000
-2243573.000	-33624.340	498046.875
-1005472.938	2413576.000	496093.750
807343.375	1254349.625	494140.625
521484.000	1872879.875	492187.500
-490269.656	2769518.000	490234.375
-133381.203	340623.063	488281.250
-584959.625	-1661213.375	486328.125
-39807.637	-182079.641	484375.000
1430921.750	1740851.625	482421.875
1659031.875	-724863.438	480468.750
-256340.703	910363.438	478515.625
185923.125	560729.813	476562.500
-50404.516	956625.500	474609.375
1161587.250	904750.438	472656.250
1045072.688	-622290.625	470703.125
-1214947.000	-607942.125	468750.000
-798438.813	676665.625	466796.875
382372.063	-1827960.125	464843.750
-3461766.750	1614637.625	462890.625
43276.703	994845.813	460937.500
968549.438	173520.422	458984.375
1000307.875	-563980.250	457031.250
2433792.500	154091.109	455078.125
-1066182.000	476999.125	453125.000
88350.430	739254.938	451171.875
-37309.605	46357.344	449218.750
-1264822.250	-1236817.000	447265.625
1796776.875	266981.375	445312.500
1476963.375	734974.875	443359.375
-616285.000	320690.125	441406.250
-841351.813	1363539.625	439453.125
-164638.234	1305411.250	437500.000
-287510.844	899945.188	435546.875
-541246.375	-461216.344	433593.750
-23685.248	937677.125	431640.625
-985258.375	343504.875	429687.500
-292131.438	788044.125	427734.375
545857.375	52303.629	425781.250
221436.297	-225499.000	423828.125
-380497.969	1312685.875	421875.000
-98450.430	222669.734	419921.875
-755957.438	2434905.250	417968.750
-1990017.625	845792.125	416015.625
343573.375	1068911.375	414062.500
498547.563	1709240.875	412109.375
1100663.625	532153.063	410156.250
1295076.500	1920908.250	408203.125
352209.906	2891977.000	406250.000
-1544150.250	-1449343.625	404296.875
-964469.250	-656323.500	402343.750
-10303631.000	-9701136.000	400390.625
1653374.375	1019530.563	398437.500
742026.188	3575860.500	396484.375
2830262.250	890541.688	394531.250
613177.375	729120.625	392578.125
2405182.750	-841101.313	390625.000
1613603.500	-666663.250	388671.875
476867.313	1456985.875	386718.750
271109.156	1756874.500	384765.625
2139055.500	980192.188	382812.500
1322490.250	274781.781	380859.375
1435381.625	483753.313	378906.250
1171684.750	379042.406	376953.125
2863092.750	2654529.250	375000.000
-591527.500	1004900.813	373046.875
-351114.031	1655757.000	371093.750
3923644.000	1027226.625	369140.625
2389770.750	2476888.750	367187.500
-1878727.125	1056184.375	365234.375
1872386.250	2639128.250	363281.250
2078327.625	197032.953	361328.125
-286439.219	855403.500	359375.000
434429.250	1547447.625	357421.875
1876071.125	-342753.125	355468.750
748429.000	270940.188	353515.625
1119448.000	-386949.781	351562.500
2734521.750	2331099.750	349609.375
1139757.625	1033872.625	347656.250
363174.906	2751539.750	345703.125
111304.219	797206.063	343750.000
-390417.688	1813307.375	341796.875
2687708.000	1529316.375	339843.750
1156589.875	179361.781	337890.625
1904578.125	2985908.500	335937.500
-205815.625	1725844.125	333984.375
2157126.000	541109.250	332031.250
2568692.500	4873545.500	330078.125
-465749.656	2122362.250	328125.000
-1015444.813	3948474.250	326171.875
4144598.750	711821.375	324218.750
3996012.500	-1842754.500	322265.625
-126183.203	730819.875	320312.500
1813422.125	2848808.000	318359.375
3096947.250	2354578.000	316406.250
-326335.000	5080866.000	314453.125
1460555.250	1346399.750	312500.000
-1196786.375	-516629.406	310546.875
3815570.000	1633676.125	308593.750
-1337215.625	2595100.500	306640.625
2978420.250	4552822.000	304687.500
2017080.250	2279298.750	302734.375
1092647.375	1263265.375	300781.250
2472795.500	-651150.063	298828.125
1000052.625	1452221.000	296875.000
2006136.875	823739.063	294921.875
1216070.500	2136290.000	292968.750
1386786.250	-1177613.875	291015.625
3453266.250	-632391.375	289062.500
3758510.000	884902.938	287109.375
1200777.750	1341330.125	285156.250
3698917.250	1806853.875	283203.125
3180627.750	-510039.219	281250.000
1722535.125	1412251.000	279296.875
1222438.875	1388011.750	277343.750
1903924.250	1687144.375	275390.625
87459.477	185536.891	273437.500
1630119.000	1888624.375	271484.375
338298.875	1071692.250	269531.250
3992995.500	-1793195.375	267578.125
5424877.000	-1575254.125	265625.000
4697683.000	1919776.625	263671.875
1438919.375	2041614.125	261718.750
1003924.313	122324.609	259765.625
4134450.000	333587.250	257812.500
2906601.250	-1289696.250	255859.375
3924849.250	-337785.875	253906.250
876383.250	-984837.250	251953.125
1777112.750	1192183.375	250000.000
-511170.031	1073242.750	248046.875
1230491.500	1771511.000	246093.750
-686347.000	331660.219	244140.625
1770321.875	449177.125	242187.500
-64189.563	-455562.125	240234.375
2016190.625	3751511.500	238281.250
-27811.477	2762532.250	236328.125
3519810.500	1087113.875	234375.000
120345.328	1618596.375	232421.875
3415756.250	1409101.250	230468.750
2532658.500	3544332.250	228515.625
4220058.500	1457756.125	226562.500
2303775.500	3972955.000	224609.375
2461169.000	2621172.750	222656.250
-313195.875	3464052.750	220703.125
2228831.750	2099650.250	218750.000
4107673.750	5135509.000	216796.875
4604262.000	3954882.750	214843.750
7039818.000	4335661.000	212890.625
5737101.000	4422972.500	210937.500
4000014.000	7934542.500	208984.375
7943854.000	3213246.500	207031.250
4862609.000	5428181.500	205078.125
16577025.000	5913449.500	203125.000
14764812.000	6304981.000	201171.875
-472765.563	473446.125	199218.750
4230697.500	1207967.625	197265.625
6243217.500	429450.813	195312.500
5700739.500	2086067.625	193359.375
6568522.500	2597823.000	191406.250
8690928.000	-1585593.375	189453.125
10029225.000	1326309.500	187500.000
8309474.000	-1070261.750	185546.875
6404195.500	1703464.750	183593.750
7728883.500	-6554205.000	181640.625
5487273.000	-5261037.000	179687.500
8343435.000	-3832834.000	177734.375
4798924.000	-6202814.000	175781.250
3638938.000	-3404535.250	173828.125
3711702.500	-5644594.000	171875.000
1856139.500	-767695.563	169921.875
2370600.250	-1622003.000	167968.750
-4125979.250	-3688685.000	166015.625
-3192726.250	-3091220.250	164062.500
-4522132.500	-4204894.000	162109.375
-2840068.500	-496105.750	160156.250
