Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x8MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
-2142205.500	-376549.906	152343.750
243583.438	177595.516	150390.625
-899610.938	-3112628.750	148437.500
191327.531	871099.000	146484.375
2093159.125	398777.094	144531.250
1374468.500	-1827304.625	142578.125
1982006.125	-2339175.000	140625.000
455401.500	4216909.500	138671.875
1141522.000	-1434361.500	136718.750
-1786391.375	-1027803.750	134765.625
526728.063	66405.102	132812.500
666767.063	1321267.375	130859.375
2585741.750	-1514878.375	128906.250
183940.391	-648636.563	126953.125
2558481.250	-3316154.250	125000.000
3643548.750	-338015.938	123046.875
-3154307.750	-2625210.250	121093.750
-1171415.750	-639125.250	119140.625
1408330.750	1056500.750	117187.500
-1287177.250	-1667906.500	115234.375
2278167.250	-84651.461	113281.250
1266670.250	52105.727	111328.125
-748047.563	2726698.000	109375.000
13379.521	-2101545.250	107421.875
1817516.000	-932945.063	105468.750
-2031984.125	-45004.176	103515.625
560479.500	2050408.125	101562.500
-2341390.250	-2668480.000	99609.375
-944950.625	359572.875	97656.250
301475.938	3991251.500	95703.125
370846.344	6305.139	93750.000
514938.844	-6660987.500	91796.875
1183576.750	2223818.250	89843.750
-913869.563	-745434.438	87890.625
-1487288.125	-2662773.250	85937.500
493903.781	-3899112.000	83984.375
355644.844	-1594272.625	82031.250
-1035814.813	-1048083.375	80078.125
-1396055.625	-1571807.250	78125.000
950428.063	1092222.875	76171.875
-1835367.750	-4057485.000	74218.750
52862.684	91833.125	72265.625
690817.313	3930637.500	70312.500
-322602.344	1140436.500	68359.375
1092929.375	603478.938	66406.250
-2247309.250	-1308065.625	64453.125
576358.688	-2665776.000	62500.000
-1723551.125	3291243.750	60546.875
-3292029.500	-4046715.750	58593.750
2941955.250	-2586772.750	56640.625
2560726.000	-1601124.125	54687.500
3136205.500	30235.465	52734.375
-512895.125	-2413659.000	50781.250
888311.250	-1713578.500	48828.125
2479832.000	-507111.438	46875.000
-832069.750	-3675117.750	44921.875
805479.375	-25816.115	42968.750
3358627.000	2209453.250	41015.625
1047215.688	-2955593.750	39062.500
-1981746.750	-880878.875	37109.375
-3240166.250	3058821.500	35156.250
1495557.375	4338644.000	33203.125
-9927636.000	-679091.750	31250.000
-2673455.500	-4205469.500	29296.875
165703.406	-1665671.250	27343.750
1785851.125	-1720150.875	25390.625
348879.500	116926.422	23437.500
2635328.500	-1290215.500	21484.375
600617.625	2890441.500	19531.250
54350.172	-2941035.000	17578.125
-2025405.750	-2678144.250	15625.000
-2215193.000	-5804175.000	13671.875
-2466886.500	1356500.375	11718.750
-3487148.250	710.112	9765.625
-3544036.500	-1912349.750	7812.500
2448502.250	-119334.828	5859.375
1592687.125	-2621690.000	3906.250
-926307.313	-3773541.000	1953.125
3016670.500	-85782.125	0.000
-1176799.125	-1485175.250	-1953.125
