Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\export\Spectrum-optimized-46x0MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
-887245.063	-3721572.500	152343.750
-1392874.125	702279.500	150390.625
173985.828	1925546.500	148437.500
3363525.250	-4011841.250	146484.375
5405217.500	-288803.438	144531.250
858417.875	1687762.750	142578.125
-1070487.000	-2269805.750	140625.000
935141.438	7204272.500	138671.875
5566183.500	2182959.250	136718.750
565068.000	-3943923.000	134765.625
666700.938	-5363284.500	132812.500
-3178303.250	1853904.875	130859.375
1372648.750	99452.180	128906.250
425496.031	-813772.750	126953.125
1597694.125	-1350879.875	125000.000
3260656.750	2433195.750	123046.875
4192948.250	-960003.125	121093.750
-1222609.500	1576995.875	119140.625
-2761289.250	82832.164	117187.500
1051966.500	-350359.906	115234.375
-1075955.625	2511623.000	113281.250
660211.688	-2049849.875	111328.125
-5176646.500	-492721.531	109375.000
1911128.375	100007.609	107421.875
298626.031	-3358289.750	105468.750
-395561.000	1381825.250	103515.625
2031528.125	2572369.500	101562.500
-1196680.750	-977211.500	99609.375
585085.750	-189958.406	97656.250
-1132093.000	-1892247.000	95703.125
-3268461.500	2961177.250	93750.000
2870957.750	-3793115.750	91796.875
-2445461.500	-307325.750	89843.750
2764780.500	-3134772.500	87890.625
5150440.500	-1035012.313	85937.500
1221037.625	-5649763.500	83984.375
1509613.875	-72652.391	82031.250
-537732.625	-4690536.000	80078.125
1781464.625	-3616273.750	78125.000
3141531.250	1462975.375	76171.875
-139230.297	1554923.875	74218.750
248362.672	-2204045.500	72265.625
3764709.500	-1299929.625	70312.500
-110326.000	364537.375	68359.375
354227.094	-2442127.250	66406.250
1608788.875	1132683.875	64453.125
4066420.500	-5341096.500	62500.000
805387.375	-4733330.500	60546.875
2864362.250	544779.250	58593.750
-667823.625	1524789.000	56640.625
3308523.500	-1455108.375	54687.500
-2671888.500	-2366364.500	52734.375
-116092.086	-587454.563	50781.250
1922986.000	-4330106.000	48828.125
293783.063	-12526.131	46875.000
1458068.500	-2595498.750	44921.875
-721160.188	1092338.000	42968.750
1063373.000	-795488.750	41015.625
1818812.250	1762633.000	39062.500
-1146021.375	-2379242.500	37109.375
-643217.188	1457384.875	35156.250
1852755.125	-1247559.125	33203.125
2319656.000	142350.828	31250.000
2090324.250	-1563858.250	29296.875
738021.500	890998.313	27343.750
3220221.750	1830110.750	25390.625
5520393.000	-2882918.250	23437.500
-589155.000	-2414692.000	21484.375
7675308.000	1099555.625	19531.250
-1796322.000	-1377322.750	17578.125
-4053954.000	-914790.750	15625.000
-2049360.125	-33954.914	13671.875
-5717571.500	-473805.375	11718.750
-1868784.250	-196822.469	9765.625
202107.375	1104355.125	7812.500
-216042.328	-4263614.500	5859.375
-2699602.000	-1969232.250	3906.250
112075.008	-1416267.000	1953.125
-19464992.000	275638.719	0.000
-3186403.500	-1251709.750	-1953.125
2023339.000	192693.672	-3906.250
1250813.125	1786339.750	-5859.375
677425.063	-801214.188	-7812.500
-1526777.875	1833007.375	-9765.625
2615913.750	-2066696.250	-11718.750
-152637.828	-825702.688	-13671.875
2112356.250	738677.688	-15625.000
1739066.875	3432785.500	-17578.125
1418813.250	-2802074.500	-19531.250
-1005850.875	-3107925.250	-21484.375
4865078.500	-1432793.500	-23437.500
6213637.000	-4131699.750	-25390.625
-654871.375	-1473507.250	-27343.750
-663056.875	1425406.500	-29296.875
-423217.531	-2414185.250	-31250.000
-1681161.875	2523830.000	-33203.125
2278974.000	255809.656	-35156.250
3934845.500	-2157091.500	-37109.375
2225563.500	5259056.000	-39062.500
1574865.375	-4015494.000	-41015.625
3400283.500	1344154.125	-42968.750
1701488.750	-109126.375	-44921.875
580215.750	419878.594	-46875.000
4933956.500	601155.313	-48828.125
4170942.500	-2381578.750	-50781.250
803971.938	-852118.813	-52734.375
-3349886.750	-2165637.500	-54687.500
1988109.125	-841580.063	-56640.625
-752248.750	-3497392.500	-58593.750
3404290.000	-3493633.500	-60546.875
-2298296.000	-479007.219	-62500.000
-1190702.875	366188.313	-64453.125
2358875.000	406867.656	-66406.250
2448194.500	497194.344	-68359.375
4355968.000	-683588.750	-70312.500
4010383.500	469406.125	-72265.625
1522277.000	719292.688	-74218.750
-2142239.000	-841904.125	-76171.875
842361.813	-2878139.750	-78125.000
3689865.250	-800784.813	-80078.125
1960965.625	-3601979.250	-82031.250
1336239.625	744096.063	-83984.375
177302.109	-3232831.000	-85937.500
5113091.000	-217565.016	-87890.625
-260035.422	3532329.500	-89843.750
-1603523.125	-375792.781	-91796.875
-659166.063	-2822619.500	-93750.000
752129.125	3289054.000	-95703.125
-1173809.750	1125281.375	-97656.250
806949.375	-3788688.000	-99609.375
-3171495.750	-2259076.500	-101562.500
2002189.750	-2899459.250	-103515.625
-113236.719	-341757.688	-105468.750
-1138410.000	-1380677.250	-107421.875
-1583132.500	91663.336	-109375.000
-1369372.000	-1466859.625	-111328.125
1883820.500	-1620212.125	-113281.250
-835336.625	-1467533.000	-115234.375
-2347512.500	488625.531	-117187.500
745058.625	-825492.688	-119140.625
541655.125	-2575686.500	-121093.750
3389824.000	1518538.250	-123046.875
765181.625	-4726072.000	-125000.000
-273134.938	-144187.250	-126953.125
669507.250	-4574899.000	-128906.250
2363464.500	-1287728.000	-130859.375
-1977323.875	-831629.938	-132812.500
-266108.219	-2128661.000	-134765.625
-2653815.250	-122143.281	-136718.750
485662.938	-3188056.000	-138671.875
-1188533.375	-2997901.500	-140625.000
1911439.125	-3199934.000	-142578.125
402277.469	1681439.500	-144531.250
761823.750	3222226.750	-146484.375
1333868.250	5974937.000	-148437.500
3744271.000	-1159731.625	-150390.625
1228868.250	-1913200.375	-152343.750
-4347113.000	3595423.750	-154296.875
-3669330.000	1624748.875	-156250.000
3142242.500	1230080.125	-158203.125
37851.070	-2820493.250	-160156.250
2766711.750	-4353057.000	-162109.375
2265536.750	-3618950.500	-164062.500
-2199758.750	1573749.875	-166015.625
-889706.250	-824945.250	-167968.750
1723573.750	-2465467.000	-169921.875
2675884.750	1391810.250	-171875.000
3428105.500	1030268.250	-173828.125
1230845.625	2071289.000	-175781.250
1853567.375	4422536.500	-177734.375
6096700.000	-2990580.750	-179687.500
1324782.750	1629732.250	-181640.625
3020294.500	-675979.375	-183593.750
-1062234.000	655537.500	-185546.875
1915344.375	-5570965.500	-187500.000
263022.781	1515228.500	-189453.125
3681426.250	1726913.125	-191406.250
2871621.250	-3921169.000	-193359.375
272189.969	-76839.172	-195312.500
-2720082.500	331534.844	-197265.625
391388.094	634942.625	-199218.750
2303997.000	-2721561.250	-201171.875
3110990.000	278791.906	-203125.000
3628251.500	-2109157.750	-205078.125
5804425.000	751704.938	-207031.250
-3460362.750	-3471534.750	-208984.375
818264.500	-5426496.500	-210937.500
-3164466.250	-1749178.500	-212890.625
-5665264.000	2631674.250	-214843.750
