Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x6MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
1104645.000	299584.000	500000.000
-708378.938	-354939.594	498046.875
825502.688	110457.234	496093.750
1964208.750	1915448.625	494140.625
1336427.000	-199193.828	492187.500
331527.000	-2995088.000	490234.375
945363.125	2349248.000	488281.250
-1710622.500	2182040.750	486328.125
839323.125	243033.297	484375.000
1440918.625	-2573343.000	482421.875
-963798.875	-754767.188	480468.750
-1058557.875	-1649345.250	478515.625
2367950.750	1195012.750	476562.500
1455957.000	1445514.875	474609.375
-2516545.500	1063005.250	472656.250
1407110.625	-802917.938	470703.125
-1321900.625	-823731.313	468750.000
1067543.500	-393949.156	466796.875
439333.906	1902248.000	464843.750
-1787524.500	-3134744.000	462890.625
478092.438	2281083.250	460937.500
-2710193.750	1541038.500	458984.375
2466955.750	-430272.125	457031.250
988659.375	1932336.625	455078.125
1648514.750	1132371.625	453125.000
-3928852.750	-2200913.000	451171.875
627625.313	-1583659.625	449218.750
-4655632.000	-1672279.875	447265.625
-2285501.000	-3528690.000	445312.500
2010851.625	-1290096.125	443359.375
2195369.000	-466756.406	441406.250
120288.891	625595.375	439453.125
-2720669.000	1799093.500	437500.000
-312506.531	-1405098.875	435546.875
2385134.000	2409289.250	433593.750
1670882.375	312702.063	431640.625
2141116.500	-1443728.750	429687.500
-2413986.750	1002876.813	427734.375
2143878.500	1307838.500	425781.250
2667776.750	-1444729.625	423828.125
-3058603.000	-625952.125	421875.000
16840.455	-1205634.500	419921.875
4610146.500	2932642.250	417968.750
-1010609.750	-332324.281	416015.625
-1980588.375	-1763738.750	414062.500
-1601039.625	162564.547	412109.375
482550.875	928455.938	410156.250
-144990.828	178943.266	408203.125
-114894.953	-1931145.375	406250.000
1677289.750	637346.438	404296.875
-4260747.000	-454444.781	402343.750
-3536743.750	1454292.375	400390.625
1360411.875	3113853.500	398437.500
4959229.500	555274.000	396484.375
-4814965.000	-1435927.375	394531.250
2087016.125	2136989.750	392578.125
1482966.625	1737958.125	390625.000
681745.000	578713.125	388671.875
1512316.125	-601139.750	386718.750
-4671983.000	-1787636.625	384765.625
-1226309.875	-911469.125	382812.500
-3148565.500	-3777596.250	380859.375
-754058.688	387309.250	378906.250
521024.563	-1506335.375	376953.125
1529483.250	-449050.969	375000.000
455597.375	113870.352	373046.875
2901180.000	-32208.713	371093.750
2276606.500	326694.656	369140.625
-600916.313	1129372.500	367187.500
-2086759.750	2172601.000	365234.375
701346.688	1566128.375	363281.250
2268409.750	-1408491.625	361328.125
1481877.250	-1324594.875	359375.000
-967493.188	-2895217.500	357421.875
2813335.250	1410027.500	355468.750
713907.188	-1154218.875	353515.625
-4016340.250	5046694.500	351562.500
-3537986.000	-1261873.000	349609.375
879605.813	-818220.125	347656.250
280427.938	355592.688	345703.125
-3164.303	442282.563	343750.000
3852641.500	3175114.500	341796.875
-517058.375	-95697.711	339843.750
1731624.625	-210364.969	337890.625
-1033426.625	-1605089.250	335937.500
-1761099.625	-1372076.375	333984.375
607425.938	1022366.438	332031.250
-566651.313	-441084.719	330078.125
5545485.500	-536264.500	328125.000
584848.000	-1893162.250	326171.875
1225141.000	2049367.625	324218.750
626834.625	-1178398.500	322265.625
4076016.500	2608449.750	320312.500
646800.813	1646289.375	318359.375
581074.875	-177022.766	316406.250
-892587.063	-4428145.500	314453.125
4194986.500	-2476291.500	312500.000
-3292951.000	1039806.875	310546.875
2407302.500	-135175.031	308593.750
2183788.000	6255000.000	306640.625
-799926.375	325176.469	304687.500
1414304.625	1200759.250	302734.375
-4633180.000	-1465235.500	300781.250
2807908.000	1360215.375	298828.125
2066653.500	-997464.625	296875.000
1933881.875	-2891764.500	294921.875
-584470.938	-3991234.750	292968.750
1295642.375	-1124205.875	291015.625
1233476.750	-3204339.250	289062.500
-1040336.375	-2816570.250	287109.375
788761.250	1959412.625	285156.250
1207659.375	2657175.750	283203.125
-4620301.500	-780519.063	281250.000
-4611291.500	-2507331.250	279296.875
-1653855.250	1454394.625	277343.750
2282029.000	-38960.699	275390.625
-394806.313	-1219560.750	273437.500
927462.438	-2080047.250	271484.375
-100115.711	-140621.438	269531.250
1210323.375	-3751379.000	267578.125
338752.844	2452242.500	265625.000
-230492.766	-2069542.750	263671.875
1857199.125	-920528.500	261718.750
2623200.500	-2081029.000	259765.625
322720.094	-872149.625	257812.500
3861915.500	-1933777.375	255859.375
3702632.000	21369.209	253906.250
1185827.750	417318.188	251953.125
-2131204.750	-1225119.875	250000.000
-2496340.500	-3386634.750	248046.875
194008.969	-545539.125	246093.750
389763.250	-3174389.000	244140.625
2456856.000	-672388.688	242187.500
-1727475.750	92471.047	240234.375
3026746.250	-1052550.125	238281.250
-1351354.875	-3464046.750	236328.125
-2044429.000	-651654.125	234375.000
-2598785.250	-199782.672	232421.875
-1526494.875	711622.500	230468.750
-496397.875	-2683006.500	228515.625
668379.313	-511608.000	226562.500
-1458265.250	2503117.250	224609.375
-274905.688	-1230038.000	222656.250
1134680.375	2662518.250	220703.125
-1408860.625	1730846.250	218750.000
-7050288.500	-1708353.750	216796.875
-354526.625	-3348346.500	214843.750
-2846743.000	-3077946.000	212890.625
-776240.750	885650.875	210937.500
1914815.125	-617782.188	208984.375
-1008168.875	4180260.750	207031.250
367132.531	1085019.500	205078.125
3381995.250	-3146558.000	203125.000
-1263636.625	-343590.094	201171.875
1979360.125	1704564.875	199218.750
591356.563	-1227519.500	197265.625
2364354.500	455620.281	195312.500
1081612.750	3007048.500	193359.375
2645188.750	-153152.344	191406.250
1354797.500	1495522.875	189453.125
2593412.000	1772965.750	187500.000
2374805.250	473942.031	185546.875
588663.563	1192886.500	183593.750
937265.500	-3351359.500	181640.625
1692004.500	197819.656	179687.500
1723776.625	-1493700.125	177734.375
1358950.375	1697247.125	175781.250
-2277136.500	-143474.438	173828.125
4564255.000	231565.672	171875.000
-2771140.000	-923963.188	169921.875
1066469.875	-1899433.250	167968.750
4034497.000	-3054731.750	166015.625
2448880.500	3122266.250	164062.500
-1891006.250	-2239234.500	162109.375
-3260098.000	-4160393.500	160156.250
-322804.844	-917191.000	158203.125
-1233081.125	-4729475.000	156250.000
-4514110.000	-815360.250	154296.875
-2576326.750	-6510680.000	152343.750
-3182190.500	1195839.125	150390.625
-609398.500	133175.953	148437.500
1958985.375	-991723.938	146484.375
-538044.125	-1586843.750	144531.250
-2178248.500	-3421574.750	142578.125
4133123.250	1019364.313	140625.000
238451.250	-1451199.500	138671.875
-906144.438	-879161.938	136718.750
-606436.438	383480.781	134765.625
353788.406	-594077.875	132812.500
-2404230.250	-3526184.500	130859.375
-544616.125	979365.438	128906.250
2852201.250	416614.406	126953.125
-1180553.500	1904895.750	125000.000
-2246406.500	427189.094	123046.875
2290157.250	-693412.250	121093.750
2500193.000	-751701.500	119140.625
-1123117.500	2266562.750	117187.500
2592870.250	40526.941	115234.375
1108071.625	-737078.125	113281.250
-2372805.750	-1169144.500	111328.125
4423361.000	-570425.875	109375.000
-867711.688	1451077.000	107421.875
2618500.500	893485.625	105468.750
5245188.000	-580673.938	103515.625
1939888.000	943581.750	101562.500
1562596.375	919012.188	99609.375
-2738265.750	2821776.000	97656.250
1000848.813	-6511436.500	95703.125
3496989.000	892790.000	93750.000
5637278.500	-3095857.000	91796.875
-1142617.125	-1789495.125	89843.750
3214318.500	618531.125	87890.625
-2795891.250	1351079.250	85937.500
1970860.750	-2105066.750	83984.375
-92029.766	-1390577.125	82031.250
-217289.484	-727879.250	80078.125
242886.844	-3139420.500	78125.000
966932.438	-7024956.500	76171.875
1607897.125	673142.063	74218.750
1544549.250	-3240800.500	72265.625
1633616.750	589371.375	70312.500
1448747.625	-1852192.250	68359.375
-1064994.750	-4504203.500	66406.250
-3156377.500	-2114237.250	64453.125
-949321.125	-2086776.875	62500.000
-3526114.750	1954042.375	60546.875
2578496.750	-4116422.000	58593.750
-2079044.125	-2050278.750	56640.625
-2043679.750	-522653.625	54687.500
-1582272.000	616368.688	52734.375
-1337002.375	-1242624.625	50781.250
-4271323.500	-3645278.250	48828.125
-1663107.375	-1492373.250	46875.000
-1468410.250	-1762112.250	44921.875
290022.406	-795621.688	42968.750
2624347.500	-47074.750	41015.625
-1279779.875	-2433622.750	39062.500
969928.188	1504575.625	37109.375
-3203443.000	-102461.008	35156.250
-498812.219	-2377441.750	33203.125
-1377917.250	1050770.875	31250.000
-4820917.000	3796569.750	29296.875
6919181.000	-1769162.375	27343.750
-1337419.125	1571607.375	25390.625
7551555.000	2199932.250	23437.500
7943657.000	2122880.250	21484.375
1253610.625	2145355.750	19531.250
4376416.000	391752.188	17578.125
1961609.500	2015823.000	15625.000
71943.875	-1164508.375	13671.875
4418759.000	-675803.313	11718.750
